NC023  Tech Management with Data Analytics  Social Media    255      255                                 
RC001  Medicine  Undergraduate Entry                       #725*    #725*                               
RC004  Physiotherapy                                        535                                          
RC005  Pharmacy                                             550*     545*                                
RC101  Medicine  Graduate Entry                            #58*     #58*                                
TR002  Music                                                #395                                         
TR003  History                                              500      495*                                
TR004  Law                                                  535*     525*                                
TR005  Philosophy                                           455                                          
TR006  Psychology                                           550      545*                                
TR007  Clinical Speech and Language Studies                 520*                                         
TR008  World Religions and Theology                         360                                          
TR009  Music Education                                      #455     #440                                
TR012  History and Political Science                        535*                                         
TR015  Philosophy  Political Science  Economics and Socio   555*                                         
TR016  Deaf Studies                                         360      350                                 
TR017  Law and Business                                     585      580*                                
TR018  Law and French                                       575                                          
TR019  Law and German                                       545      535*                                
TR020  Law and Political Science                            575                                          
TR021  Classics                                             430      420                                 
TR022  Early and Modern Irish                               375                                          
TR023  English Studies                                      515                                          
TR024  European Studies                                     535*                                         
TR025  Drama and Theatre Studies                            #425                                         
TR028  Ancient and Medieval History and Culture             455      415                                 
TR029  Political Science and Geography                      495                                          
TR030  Catholic Theological Studies                         330                                          
TR031  Mathematics                                          565      550*                                
TR032  Engineering                                          500*                                         
TR033  Computer Science                                     480*                                         
TR034  Management Science and Information Systems Studies   565                                          
TR035  Theoretical Physics                                  555*                                         
TR038  Engineering with Management                          515      500*                                
TR039  Computer Science and Language                        465                                          
TR051  Medicine                                             #730*    #730*                               
TR052  Dental Science                                       585*     585*                                
TR053  Physiotherapy                                        535*                                         
TR054  Occupational Therapy                                 520      515*                                
TR055  Radiation Therapy                                    515*                                         
TR056  Human Health and Disease                             535      530*                                
TR071  Science                                              505*     500*                                
TR072  Pharmacy                                             560*     560                                 
TR073  Human Genetics                                       570*                                         
TR074  Chemistry with Molecular Modelling                   495*     495                                 
TR075  Medicinal Chemistry                                  525      520                                 
TR076  Nanoscience  Physics and Chemistry of Advanced Mat   595      590                                 
TR077  Earth Sciences                                       490      490                                 
TR080  Business                                             535                                          
TR081  Business  Economic and Social Studies BESS         510*     510*                                
TR082  Computer Science and Business                        505*                                         
TR083  Sociology and Social Policy                          480*                                         
TR084  Social Studies Social Work                         470      460*                                
TR085  Business Studies and French                          530      525                                 
TR086  Business Studies and German                          495*                                         
TR087  Business Studies and Russian                         460      450                                 
TR089  Business Studies and Polish                          430                                          
TR090  Business Studies and Spanish                         515*                                         
TR091  General Nursing Meath and St Jamess               425*                                         
TR092  Mature Applicants General Nursing Meath and St Ja                                                
TR093  General Nursing Adelaide School of Nursing         #400                                         
TR094  Mature Applicants General Nursing Adelaide School                                                
TR095  Mental Health Nursing                                385                                          
TR096  Mature Applicants Mental Health Nursing              #154*                                        
TR097  Intellectual Disability Nursing                      385*     380                                 
TR098  Mature Applicants Intellectual Disability Nursing    #152                                         
TR911  Childrens and General Nursing Integrated          505      490*                                
TR912  Mature Applicants Childrens and General Nursing                                                 
TR913  Midwifery                                            455      450*                                
TR914  Mature Applicants Midwifery                                                                       
DN100  Architecture                                         515                                          
DN120  Landscape Architecture                               315      285                                 
DN140  Structural Engineering with Architecture             475                                          
DN150  Engineering                                          515      510*                                
DN200  Science                                              515      510                                 
DN201  Computer Science                                     485                                          
DN230  Actuarial and Financial Studies                      560                                          
DN250  Agricultural Science                                 460                                          
DN252  Dairy Business                                       440                                          
DN253  AgriEnvironmental Sciences                          430                                          
DN261  Food Science                                         490                                          
DN262  Human Nutrition                                      530                                          
DN271  Forestry                                             AQA                                          
DN272  Horticulture  Landscape and Sportsturf Management    AQA      AQA                                 
DN300  Veterinary Medicine  Undergraduate Entry            570      565                                 
DN301  Veterinary Medicine  Graduate Entry                                                              
DN310  Veterinary Nursing                                   465                                          
DN400  Medicine  Undergraduate Entry                       #730*                                        
DN401  Medicine  Graduate Entry                            #59*     #59*                                
DN410  Radiography                                          535      530                                 
DN420  Physiotherapy                                        550                                          
DN425  Health and Performance Science                       495                                          
DN430  Sport and Exercise Management                        440      435*                                
DN440  Biomedical  Health and Life Sciences                 550      545*                                
DN450  General Nursing                                      420                                          
DN451  Childrens and General Nursing Integrated          485                                          
DN452  Midwifery                                            480                                          
DN453  Mental Health Nursing                                385                                          
DN460  Mature Applicants General Nursing                    #168*                                        
DN461  Mature Applicants Childrens and General Nursing                                                 
DN462  Mature Applicants Midwifery                          #178                                         
DN463  Mature Applicants Mental Health Nursing              #166                                         
DN500  BA Degree  joint honours  full time                320      310                                 
DN501  BA Degree  joint honours  part time                320      310                                 
DN510  Economics                                            495                                          
DN511  English                                              475      445                                 
DN512  English with Drama                                   305                                          
DN513  English with Film                                    425                                          
DN514  Planning  Geography and Environment                  325      300                                 
DN515  History                                              410      395                                 
DN519  Psychology                                           500                                          
DN541  International Languages                              460                                          
DN550  Social Science                                       415                                          
DN600  Law                                                  525                                          
DN610  Business and Law                                     520                                          
DN615  BCL Matrise                                         555                                          
DN650  Commerce                                             500                                          
DN660  Commerce International                               510                                          
DN670  Quantitative Business                                585      580*                                
DK810  Accounting and Finance                               300      300                                 
DK816  Business Studies                                     300                                          
DK817  Business Studies Years 1 and 2 at Monaghan Instit                                                
DK820  Computing in Games Development                       300      300                                 
DK821  Computing                                            300                                          
DK830  Building Surveying                                   300      300                                 
DK860  Applied Music                                        #503     #503                                
DK861  Digital Humanities                                   300      300                                 
DK862  Social Care                                          305      300                                 
DK863  Communications in Creative Media                     300                                          
DK864  Film and Television Production                       300      300                                 
DK865  Production of Music and Audio                        300      300                                 
DK870  General Nursing                                      400*                                         
DK871  Mature Applicants General Nursing                    #170                                         
DK872  Intellectual Disability Nursing                      330*     330                                 
DK873  Mature Applicants Intellectual Disability Nursing                                                 
DK874  Psychiatric Nursing                                  352      345                                 
DK875  Mature Applicants Psychiatric Nursing                #152                                         
DK876  Early Childhood Studies                              305                                          
DK877  Midwifery                                            410      400*                                
DK878  Mature Applicants Midwifery                                                                       
DK880  Health and Physical Activity                         310      300                                 
DK881  Environmental Bioscience                             330      330                                 
DK882  Agriculture                                          355                                          
DK890  Multimedia Web Development                           300                                          
GA181  Accounting                                           300                                          
GA182  Business                                             290                                          
GA183  Business Information Systems                         300                                          
GA184  Business in Marketing and Sales                      300                                          
GA185  Business in Finance and Economics                    315                                          
GA186  Business with Entrepreneurship                       290                                          
GA187  Business in Rural Enterprise and AgriBusiness  Mo   300                                          
GA281  Film and Documentary                                 350                                          
GA282  Heritage Studies                                     200      200                                 
GA283  Contemporary Art                                     250                                          
GA284  Design                                               310                                          
GA380  Hotel and Catering Management                        255                                          
GA480  Construction Management                              260                                          
GA482  Quantity Surveying and Construction Economics        240                                          
GA483  Architectural Technology                             265                                          
GA484  Civil Engineering                                    275                                          
GA680  Mechanical Engineering                               300                                          
GA681  Energy Engineering                                   250                                          
GA780  Applied Freshwater and Marine Biology                300                                          
GA781  Applied Biology and Biopharmaceutical Science        305                                          
GA782  Chemical and Pharmaceutical Science                  315                                          
GA783  Physics and Instrumentation                          315                                          
GA784  Science Undenominated                              300                                          
