code,year,points,college,audition,desc
MH210,2009,350, Maynooth University,False, Chemistry with Pharmaceutical Chemistry
SG446,2009,275, Institute of Technology Sligo,False, Applied Archaeology
BY103,2009,nan, IBAT College Dublin,False," Business Information Systems
"
DN024,2009,380, University College Dublin (NUI),False, Sports and Exercise Management
BY102,2009,nan, IBAT College Dublin,False," Business and Marketing
"
DN021,2009,480, University College Dublin (NUI),False, Business and Law
DN020,2009,530, University College Dublin (NUI),False, Actuarial and Financial Studies
DN023,2009,350, University College Dublin (NUI),False, Arts Part time Day
DN022,2009,240, University College Dublin (NUI),False, Arts Part time Evening
DN029,2009,505, University College Dublin (NUI),False, Law with French Law BCL
DN028,2009,550, University College Dublin (NUI),False, BCL Matrise
CR340,2009,285, Cork Institute of Technology,False, Analytical Chemistry with Quality Assurance
SG441,2009,285, Institute of Technology Sligo,False, Environmental Science
LC941,2009,300, Limerick Institute of Technology,False, Business Studies Event Management
CW038,2009,700, Institute of Technology Carlow,True, Art
CI101,2009,195, Irish College of Humanities & Applied Sciences,False, Counselling and Psychotherapy
CR116,2009,255, Cork Institute of Technology,False, Software Development and Computer Networking
MI008,2009,550, Mary Immaculate College,False, Primary Teaching in Education and Psychology
MI007,2009,360, Mary Immaculate College,False, Early Childhood Care and Education
MI006,2009,450, Mary Immaculate College,False, Education Primary Teaching Gaeltacht Applicants
MI005,2009,480, Mary Immaculate College,False, Education Primary Teaching
MI004,2009,395, Mary Immaculate College,False, Liberal Arts
WD137,2009,300, Waterford Institute of Technology,False, Design Visual Communications
DN050,2009,300, University College Dublin (NUI),False, Computer Science Arts
DN051,2009,440, University College Dublin (NUI),False, Economics
DN052,2009,430, University College Dublin (NUI),False, History
DN053,2009,410, University College Dublin (NUI),False, Philosophy
DN054,2009,495, University College Dublin (NUI),False, Psychology
DN055,2009,450, University College Dublin (NUI),False, English
DN056,2009,430, University College Dublin (NUI),False, Integrated BAMA Masters degree programme
