TR084  Social Studies  Work                               485      510      36                         
TR085  Business Studies and French                          480      515      21                         
TR086  Business Studies and German                          380      425      23                         
TR087  Business Studies and Russian                         330      405      7                          
TR088  Business Studies and Chinese                         350      515      6                          
DN001  Architecture                                         505      530      56                         
DN002  Medicine                                             555      565      115                        
DN004  Radiography                                          485      510      24                         
DN005  Veterinary Medicine                                  545*     565      83                         
DN006  Physiotherapy                                        525*     540      54                         
DN007  Social Science                                       400*     435      133                        
DN008  Science                                              320      400      382                        
DN009  Law                                                  515*     530      108                        
DN010  Agricultural Science                                 330      375      73                         
DN011  Music                                                225#     370#     14                         
DN012  Arts                                                 375      410      1301                       
DN014  CommerceModern Irish                                415      435      13                         
DN015  Commerce                                             455*     480      297                        
DN016  CommerceGerman                                      435      450      26                         
DN017  CommerceFrench                                      505*     530      17                         
DN018  CommerceSpanish                                     435      455      19                         
DN019  CommerceItalian                                     435      445      15                         
DN020  Actuarial and Financial Studies                      545      560      39                         
DN021  Business and Legal Studies                           490*     510      137                        
DN022  Arts  Eveningmodular                               140      622      110                        
DN024  Sports Management                                    420      440      41                         
DN026  Economics  Finance                                  460      485      35                         
DN029  Law with French Law                                  535      540      15                         
DN030  Computer Science                                     365      410      46                         
DN031  Theoretical Physics                                  445      485      15                         
DN032  Mathematical Science                                 550      570      17                         
DN040  Food Science                                         350      380      18                         
DN041  Landscape Horticulture                               350      390      19                         
DN042  Forestry                                             320      350      6                          
DN043  Agribusiness and Rural Development                   335      360      8                          
DN044  Agriculture and Environmental Science                335      360      7                          
DN045  Animal and Crop Production                           325      360      13                         
DN046  Animal Science                                       350      405      17                         
DN047  Engineering Technology                               350      425      4                          
DN048  Horticultural Science                                320      365      2                          
DN050  BA  Computer Science                             360      400      46                         
DN051  Economics                                            435      445      24                         
DN052  History                                              465      490      12                         
DN053  Philosophy                                           410      420      6                          
DN054  Psychology                                           525      535      32                         
DN057  BA  International  French                         445      490      18                         
DN058  BA  International  German                         350      375      14                         
DN059  BA  International  Spanish                        470      495      10                         
DN070  Agriculture and Food Engineering                     335      415      3                          
