                                 ADMISSION DATA 2013
                                      Level 7/6

              The details given are for general information only and do not
               form part of any contract. They are not intended for use in
                determining whether any individual applicant is or is not
                     entitled to an offer of a higher education place

    *         Not all on this points score were offered places
    #         Test / Interview / Portfolio etc.
   AQA        All qualified applicants
    v         New competition for Available/Vacant Places
    +         Includes Project / Portfolio Score
              Notes: The final points column shows the lowest points score
              achieved by an applicant who received an offer of a place on
              the course. The mid point is the points score of the applicant
              in the middle of a list of offerees placed in points score order.
              Applicants who are offered places might not necessarily
              accept a place. In most cases, the points scores shown here
              are based on performance in the Leaving Certificate.
              Applicants offered on mature grounds are not accounted for
              in this chart, with the exception of applicants for Mature Code
              nursing courses.
Course Code                    INSTITUTION and COURSE                             Final   Mid point
GA471   Construction Economics and Quantity Surveying                 145   270
GA472   Architectural Technology                                      140   310
GA473   Civil Engineering                                             150   280
GA570   Computer and Electronic Engineering                           210   360
GA572   Computer and Energy Systems                                   215   315
GA573   Electrical Services and Automation Engineering                175   285
GA670   Mechanical Engineering                                        290   380
GA673   Energy Engineering                                            205   345
GA770   Applied Freshwater and Marine Biology                         350   420
GA771   Applied Biology and Biopharmaceutical Science                 330   415
GA772   Chemical and Pharmaceutical Science                           300   395
GA773   Physics and Instrumentation                                   350   430
GA774   Science (Undenominated)                                       320   440
GA775   Computing in Software Development                             300   395
GA776   Business Computing and Digital Media                          210   315
GA777   Agriculture & Environmental Management (Mountbellew)          300   360
GA869   Business in Computer Applications (Castlebar)                 145   225
GA870   Outdoor Education and Leisure (Castlebar)                     180   295
GA872   Heritage Studies (Castlebar)                                  265   365
GA874   Outdoor Education and Leisure with Geography (Castlebar)      170   330
GA875   Construction Management in Refurbishment and Maintenance (Ca    #
GA877   Business (Castlebar)                                          160   280
GA878   Accounting and Financial Management (Castlebar)               150   390
GA879   Applied Social Studies (Castlebar)                            270   315
GA970   Furniture Design and Manufacture (Letterfrack)                365   405
GA971   Furniture and Wood Technology (Letterfrack)                   290   360
                               LETTERKENNY IT
LY106   Business - Accounting and Administration                      100   235
LY107   Business - Management                                         150   285
LY117   Administration and Information Technology                     140   250
LY127   Business - Marketing                                          145   330
LY206   Sports Studies                                                100   215
LY207   Law with Criminal Justice with Irish/French/German/Spanish    140   325
LY306   Hotel Administration at Killybegs                            AQA    170
LY317   Culinary Arts at Killybegs                                    140   250
LY327   Hotel Restaurant and Resort Management at Killybegs           150   235
LY336   Bar and Restaurant Supervision at Killybegs                  AQA    200
LY346   Culinary Arts at Killybegs                                   AQA    190
LY417   Product Design                                                145   315
LY427   Digital Media Design                                          180   305
LY437   Animation                                                     145   305
LY507   Quantity Surveying                                            140   300
LY517   Building Services and Renewable Energy                        170   300
LY527   Civil Engineering                                             185   335
LY547   Architectural Technology                                      180   260
LY607   Electronics                                                   140   320
LY617   Mechanical Engineering                                        140   305
LY627   Computer Engineering                                          165   220
LY707   Computer Games Development                                    205   295
LY717   Computing                                                     140   270
LY737   Computer Security and Digital Forensics                       185   315
LY806   Pharmacy Technician                                           160   290
LY816   Dental Nursing                                                195   280
LY817   Bioscience                                                    150   355
LY826   Applied Agriculture                                           190   275
LY827   Analytical and Forensic Science                               145   310
LY837   Food Science and Nutrition                                    170   345
LY847   Veterinary Nursing                                           390*   415
LY906   Early Childhood Care, Health and Education                    180   295
LY916   Health and Social Care                                        130   240
LY917   Health and Social Care                                        155   290
              Irish College of Humanities & Applied Sciences
CI001   Counselling Skills and Psychotherapy Studies                  125   320
CI002   Counselling Skills and Addiction Studies                      135   285
CI005   Counselling Skills and Youth Studies                         AQA    250
                                 LIMERICK IT
LC111   Fashion Knitwear & Textiles                                  605#   832
LC221   Business (Accounting/Finance)                                 250   405
LC222   Business (Marketing and Management)                           250   380
LC228   Sports Coaching & Development                                 275   350
LC232   Business Computing                                            200   255
LC235   Internet Systems Development                                  240   310
LC237   eBusiness Management Systems                                  205   355
LC244   Sustainable Building and Renewable Energy                     200   285
LC251   Civil Engineering                                             190   325
LC253   Construction                                                  170   250
LC254   Construction (Health and Safety)                                190   295
LC256   Construction Practice                                           155   215
LC257   Interior Design & Technology                                    155   340
LC260   Applied Biology                                                 270   405
LC261   Applied Chemistry                                               345   440
LC264   Environmental & Analytical Science                              220   325
LC267   Pharmaceutical and Forensic Analysis                            260   390
LC270   Music Technology and Production                                 345   395
LC276   Video and Sound Technology                                      245   310
LC277   Industrial Automation and Robotic Systems                       195   310
LC278   Renewable and Electrical Energy Systems                         200   350
LC279   Electronic Engineering                                          205   330
LC281   Automobile Technology                                           255   295
LC284   Agricultural Mechanisation - Salesian Agri. College Pallaske    305   350
LC285   Mechanical Engineering                                          200   335
LC286   Road Transport Technology and Management                        210   265
LC296   Front Office Management                                         180   240
LC298   Culinary Arts                                                   270   355
LC299   Hospitality Studies                                             240   285
LC401   Business (Thurles)                                              140   225
LC403   Computing (Thurles)                                             145   215
LC404   Computing - Smart Energy Systems (Thurles)                        #
LC416   Computer Services Management (Thurles)                          155   185
LC419   Business (Thurles)                                             AQA    300
LC423   Sports Strength and Conditioning (Thurles)                      265   340
LC501   Business (Clonmel)                                              165   265
